,V1,V2,V4,DP,MT,8m,5,8l,TEO,2,F1,STPc,7A,46d,10,9/46v,9/46d,F5,TEpd,PBr,7m,7B,F2,STPi,ProM,F7,8B,STPr,24c
V1,0.0,0.06857098008730704,-0.009002072449759257,-0.08129882812500003,-0.08251688952155467,-0.2920532878686513,-0.08175998263888892,0.3677347250761158,-0.020200376157407385,-0.07706705729166666,-0.08317057291666666,-0.08343279803240741,-0.08513274016203698,-0.2572834207640247,0.005429243738164405,-0.100723200590984,-0.04854391887757621,0.12724427986802914,-0.11258047598379628,-0.08298972800925922,-0.07197980449581043,-0.05861371025128989,-0.08082730383387193,-0.07596683920220534,-0.0827525191608817,-0.029958286443905746,-0.08096453249299035,-0.07620035593856425,-0.07208886937053674
V2,0.06857098008730704,0.0,0.11108257951254777,0.04896148042701978,0.04420927832999724,-0.12363331327902947,0.043049242529436677,0.4511223118816714,0.1890652068173717,0.04391729808499217,0.0980803478535108,0.042001669598342534,0.03475004655639806,-0.10767051783838191,0.10447322623143471,0.05905929736376314,0.07577991117899502,0.19578811988393285,0.03424714185316777,0.04248862331647371,0.08466716662158918,0.09842659853972094,0.03859726421639807,0.056257027169823975,0.042088353866240186,0.10458624339749228,0.03748027946646319,0.0544365296945038,0.07358081586723322
V4,-0.009002072449759257,0.11108257951254777,0.0,0.024286953881259177,0.014947156759625463,-0.2256232611131726,0.018127389035241193,0.45774123549278256,0.023039124020148072,0.024124193464592547,0.021560716902092547,0.012916152594679264,0.00511827604790957,-0.16713041538879295,0.03426506557955214,0.01373883203143629,-0.011760091381494087,0.09823952284049663,-0.11632900387337042,0.014102543095543985,-0.04013132723490802,-0.04415406270585748,0.014818208011672024,0.019556602330838557,0.014760493501939254,0.03137588318299819,0.014162628253337153,0.018937201255586844,-0.005794516301490221
DP,-0.08129882812500003,0.04896148042701978,0.024286953881259177,0.0,-0.0010824277159991458,-0.2517549360986344,0.0006329571759258745,0.4453850071941714,0.006460684317129567,0.0011935763888888673,-9.04224537034981e-06,-0.0003436053240741255,-0.0026538990162036646,-0.2054329473157121,0.015461614976590349,0.03167146339244689,0.004999737083071956,0.0860252043471958,-0.14055718315972227,0.00025770399305558023,0.001809438849096956,-0.07381372471888253,0.0006388058304798716,0.004305694073257593,-0.0017581915327505304,0.012689463845446072,0.0008723092315466863,0.005848978552176393,-0.024024814104333075
MT,-0.08251688952155467,0.04420927832999724,0.014947156759625463,-0.0010824277159991458,0.0,-0.24707132044347663,-9.975881635257422e-05,0.4413566868816714,0.013629305501593497,0.0014087108835378614,0.005789678765482392,-0.0013013076638357102,-0.0022339864688526168,-0.20755889262282723,0.01844763611328537,0.04256387165404674,0.003382756805046183,0.08678580940979078,-0.06433745520442505,-0.0016611314197028382,0.011075794283025547,-0.056292796304210024,0.00043001487789623427,0.006377424714556462,-0.003175453407838119,0.025076520693788365,-0.0003321887969525428,0.0052308892392810835,-0.023127458301147957
8m,-0.2920532878686513,-0.12363331327902947,-0.2256232611131726,-0.2517549360986344,-0.24707132044347663,0.0,0.12655185437977168,0.42282460499509733,-0.28187492287403215,0.13775055888703602,-0.074869835553184,0.15373910505919713,-0.06589904942763167,-0.12603484464161588,-0.06396391363100667,-0.22315211186972983,-0.27204504293264153,-0.17341718922102886,-0.167196623174366,0.16077789151018113,-0.2839083813324829,-0.32568316747926995,-0.07143759274872144,-0.0638321534294996,0.1190651729640742,-0.26458977516144144,-0.07691339828250013,0.13664080973260379,-0.12976846441533288
5,-0.08175998263888892,0.043049242529436677,0.018127389035241193,0.0006329571759258745,-9.975881635257422e-05,0.12655185437977168,0.0,0.06768788426244277,0.0015417028356480844,-8.827561276977813e-05,-0.033980758101851916,-0.0019129467523277544,-0.0037354977215361684,-0.20032720316158814,-0.005064816907538572,0.012746328247938726,0.01285425471910727,0.08686428044298478,-0.1396348741319445,0.0017422175107576765,-0.03647282632648251,-0.08846668334156768,-0.00053959524280775,0.0013901048347012002,-0.005816769129407651,0.007209863151001611,-0.004082533778845598,0.003967408578260168,-0.02829164049280425
8l,0.3677347250761158,0.4511223118816714,0.45774123549278256,0.4453850071941714,0.4413566868816714,0.42282460499509733,0.06768788426244277,0.0,0.14397493417050627,0.23424410662776612,0.2691811061845884,0.2235937054855245,0.08605340863136422,0.06979921218423832,0.117201232599264,0.1849795342352992,0.11081652963743721,0.11652602332605358,0.19775213329114807,0.2773488038288031,0.11347409772876581,0.014345816150421242,0.1035013453715264,0.05564082670582006,0.04957034951425553,0.10454291107098052,0.09926266579846435,0.23788149992059215,0.2495503914855144
TEO,-0.020200376157407385,0.1890652068173717,0.023039124020148072,0.006460684317129567,0.013629305501593497,-0.28187492287403215,0.0015417028356480844,0.14397493417050627,0.0,-0.001535034872029023,0.00743272569444442,-0.0017459326596699354,-0.00578647547306449,-0.1480247966245167,0.00035074513831082066,0.0099062819581337,0.004368206853971018,0.08002628581540577,-0.10598867910879628,0.0007052951388888951,0.006802660724675003,-0.08758185749184796,-0.006347325760535538,0.0019225505616706218,-0.003818432902555735,-0.005356407253999135,-0.010226154907145985,0.006054839726946953,-0.016781975562666335
2,-0.07706705729166666,0.04391729808499217,0.024124193464592547,0.0011935763888888673,0.0014087108835378614,0.13775055888703602,-8.827561276977813e-05,0.23424410662776612,-0.001535034872029023,0.0,0.0003662109375,-0.002364791574152203,-0.005207775403051507,-0.14848383096805604,-9.523769366742707e-05,0.014872327390122508,0.0019847995293807152,0.08051483451209981,-0.10464138454861113,0.000560619212962965,0.006696019839178141,-0.086339889620583,-0.005759054619674825,-0.001378919382087812,-0.0033950593176941823,-0.0025578553487633215,-0.010001964831834326,0.003987372463240796,-0.01818352359507383
